userid,isbn,expiry_date
user1,978-0-123456,2025-01-15
user2,978-0-789012,2025-01-15
user3,978-0-345678,2025-01-15
user4,978-0-567890,2025-01-15
user1,978-0-456789,2025-01-15
user2,978-0-123456,2025-01-20
user3,978-0-789012,2025-01-20
user4,978-0-345678,2025-01-20
user1,978-0-567890,2025-01-20
user2,978-0-456789,2025-01-20
user3,978-0-123456,2025-01-20
user1,978-0-789012,2025-01-25
user2,978-0-345678,2025-01-25
user3,978-0-456789,2025-01-25
user4,978-0-123456,2025-01-25
user1,978-0-567890,2025-01-25
user2,978-0-789012,2025-01-25
user3,978-0-345678,2025-02-01
user4,978-0-456789,2025-02-01
user1,978-0-123456,2025-02-01
user2,978-0-567890,2025-02-01
user3,978-0-789012,2025-02-01
user4,978-0-345678,2025-02-05
user1,978-0-456789,2025-02-05
user2,978-0-123456,2025-02-05
user3,978-0-567890,2025-02-05
user1,978-0-789012,2025-02-05
user2,978-0-345678,2025-02-05
user3,978-0-456789,2025-02-10
user4,978-0-123456,2025-02-10
user1,978-0-567890,2025-02-10
user2,978-0-789012,2025-02-10
user3,978-0-345678,2025-02-10
user4,978-0-456789,2025-02-15
user1,978-0-123456,2025-02-15
user2,978-0-567890,2025-02-15
user3,978-0-789012,2025-02-15
user4,978-0-345678,2025-02-20
user1,978-0-456789,2025-02-20
user2,978-0-123456,2025-02-20
user3,978-0-567890,2025-02-20
user1,978-0-789012,2025-02-20
user2,978-0-345678,2025-02-25
user3,978-0-456789,2025-02-25
user4,978-0-123456,2025-02-25
user1,978-0-567890,2025-02-25
user2,978-0-789012,2025-02-25
user3,978-0-345678,2025-03-01
user4,978-0-456789,2025-03-01
user1,978-0-123456,2025-03-01
user2,978-0-567890,2025-03-01
user3,978-0-789012,2025-03-01
user4,978-0-345678,2025-03-05
user1,978-0-456789,2025-03-05
user2,978-0-123456,2025-03-05
user3,978-0-567890,2025-03-05
user1,978-0-789012,2025-03-05
user2,978-0-345678,2025-03-10
user3,978-0-456789,2025-03-10
user4,978-0-123456,2025-03-10
user1,978-0-567890,2025-03-10
user2,978-0-789012,2025-03-10
user3,978-0-345678,2025-03-10
user4,978-0-456789,2025-03-15
user1,978-0-123456,2025-03-15
user2,978-0-567890,2025-03-15
user3,978-0-789012,2025-03-15
user4,978-0-345678,2025-03-15
user1,978-0-456789,2025-03-20
user2,978-0-123456,2025-03-20
user3,978-0-567890,2025-03-20
user4,978-0-789012,2025-03-20
user1,978-0-345678,2025-03-20
user2,978-0-456789,2025-03-25
user3,978-0-123456,2025-03-25
user4,978-0-567890,2025-03-25
user1,978-0-789012,2025-03-25
user2,978-0-345678,2025-03-25
user3,978-0-456789,2025-03-30
user4,978-0-123456,2025-03-30
user1,978-0-567890,2025-03-30
user2,978-0-789012,2025-03-30

